Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2019.29	12243	
2020.99	12407	
2022.69	12017	
2024.39	12089	
2026.09	11815	
2027.79	12000	
2029.49	11695	
2031.19	11745	
2032.89	11579	
2034.58	11669	
2036.28	11875	
2037.98	11860	
2039.67	11451	
2041.36	11737	
2043.06	11603	
2044.75	11580	
2046.44	11489	
2048.13	11576	
2049.82	11353	
2051.51	11340	
2053.2	11513	
2054.88	11142	
2056.57	11085	
2058.26	11269	
2059.94	11087	
2061.63	11096	
2063.31	11032	
2065	11031	
2066.67	11026	
2068.36	10982	
2070.04	10863	
2071.72	11028	
2073.4	10742	
2075.07	10947	
2076.75	10938	
2078.43	10980	
2080.1	10805	
2081.78	10747	
2083.45	11006	
2085.13	10749	
2086.8	11091	
2088.47	10677	
2090.14	10881	
2091.81	11201	
2093.48	10971	
2095.15	11002	
2096.82	10785	
2098.49	11015	
2100.16	11309	
2101.82	11114	
2103.49	11268	
2105.15	11426	
2106.81	11068	
2108.48	11202	
2110.14	11122	
2111.8	11294	
2113.46	11164	
2115.12	11410	
2116.78	11370	
2118.44	11335	
2120.1	11664	
2121.75	11402	
2123.41	11526	
2125.07	11271	
2126.72	11524	
2128.38	11756	
2130.03	11374	
2131.68	11717	
2133.33	11798	
2134.98	11754	
2136.63	11495	
2138.28	11817	
2139.93	11933	
2141.58	11869	
2143.22	12136	
2144.87	12174	
2146.52	12182	
2148.16	11978	
2149.8	12096	
2151.45	12132	
2153.09	12366	
2154.73	12127	
2156.37	12344	
2158.01	12432	
2159.65	12167	
2161.29	12261	
2162.93	12652	
2164.57	12578	
2166.2	12681	
2167.84	12467	
2169.47	12768	
2171.11	12936	
2172.74	12794	
2174.37	13095	
2176.01	12955	
2177.64	13014	
2179.27	13215	
2180.9	13359	
2182.53	13457	
2184.15	13550	
2185.78	13440	
2187.41	13750	
2189.04	13742	
2190.66	14023	
2192.28	13878	
2193.91	13950	
2195.53	14070	
2197.15	13927	
2198.77	14286	
2200.4	14267	
2202.02	14438	
2203.64	14415	
2205.25	14644	
2206.87	14677	
2208.49	14849	
2210.1	14997	
2211.72	15161	
