Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1997.08	236	
1998.79	251	
2000.5	262	
2002.22	275	
2003.92	284	
2005.64	294	
2007.34	290	
2009.05	286	
2010.76	293	
2012.47	291	
2014.17	285	
2015.88	288	
2017.58	280	
2019.29	281	
2020.99	294	
2022.69	291	
2024.39	289	
2026.09	288	
2027.79	291	
2029.49	284	
2031.19	279	
2032.89	274	
2034.58	277	
2036.28	273	
2037.98	273	
2039.67	259	
2041.36	251	
2043.06	242	
2044.75	237	
2046.44	247	
2048.13	241	
2049.82	239	
2051.51	253	
2053.2	263	
2054.88	269	
2056.57	270	
2058.26	274	
2059.94	270	
2061.63	271	
2063.31	267	
2065	254	
2066.67	255	
2068.36	264	
2070.04	266	
2071.72	268	
2073.4	270	
2075.07	270	
2076.75	275	
2078.43	281	
2080.1	276	
2081.78	277	
2083.45	285	
2085.13	286	
2086.8	280	
2088.47	274	
2090.14	274	
2091.81	268	
2093.48	271	
2095.15	266	
2096.82	270	
2098.49	262	
2100.16	255	
2101.82	256	
2103.49	269	
2105.15	267	
2106.81	272	
2108.48	277	
2110.14	278	
2111.8	278	
2113.46	286	
2115.12	268	
2116.78	256	
2118.44	267	
2120.1	272	
2121.75	269	
2123.41	278	
2125.07	285	
2126.72	277	
2128.38	271	
2130.03	268	
2131.68	255	
2133.33	249	
2134.98	264	
2136.63	269	
2138.28	271	
2139.93	286	
2141.58	284	
2143.22	280	
2144.87	271	
2146.52	269	
2148.16	262	
2149.8	260	
2151.45	267	
2153.09	270	
2154.73	266	
2156.37	273	
2158.01	269	
2159.65	262	
2161.29	256	
2162.93	260	
2164.57	267	
2166.2	268	
2167.84	278	
2169.47	283	
2171.11	291	
2172.74	292	
2174.37	287	
2176.01	274	
2177.64	275	
2179.27	282	
2180.9	290	
2182.53	286	
2184.15	291	
2185.78	289	
2187.41	293	
2189.04	282	
2190.66	281	
2192.28	274	
2193.91	283	
2195.53	293	
2197.15	289	
2198.77	273	
2200.4	269	
2202.02	279	
2203.64	281	
2205.25	285	
2206.87	289	
2208.49	283	
2210.1	291	
2211.72	277	
2213.34	266	
2214.95	246	
2216.56	252	
2218.17	270	
2219.79	281	
2221.4	294	
2223.01	300	
2224.62	300	
2226.23	311	
2227.84	290	
2229.44	289	
2231.05	266	
2232.66	260	
2234.26	252	
2235.86	260	
2237.47	270	
2239.07	275	
2240.67	285	
2242.28	294	
2243.88	291	
2245.48	291	
2247.07	280	
2248.67	278	
2250.27	266	
2251.87	271	
2253.47	272	
2255.06	267	
2256.65	268	
2258.25	254	
2259.84	260	
2261.44	260	
2263.03	267	
2264.62	268	
2266.21	279	
2267.8	276	
2269.39	281	
2270.98	273	
2272.56	272	
2274.15	265	
2275.74	261	
2277.32	254	
2278.9	257	
2280.49	255	
2282.07	263	
2283.66	253	
2285.24	258	
2286.82	260	
2288.4	281	
2289.98	283	
2291.56	275	
2293.14	272	
2294.71	292	
2296.29	298	
2297.86	308	
2299.44	310	
2301.01	312	
2302.59	318	
2304.16	314	
2305.73	276	
2307.3	255	
2308.87	247	
2310.45	264	
2312.01	274	
2313.58	279	
2315.15	280	
2316.72	300	
2318.28	318	
2319.85	315	
2321.41	304	
2322.98	313	
2324.54	332	
2326.1	363	
2327.67	367	
2329.23	359	
2330.79	333	
2332.35	330	
2333.91	314	
2335.47	287	
2337.02	285	
2338.58	279	
2340.14	274	
2341.69	279	
2343.25	273	
2344.8	288	
2346.35	292	
2347.91	288	
2349.46	299	
2351.01	298	
2352.56	320	
2354.11	323	
2355.66	310	
2357.21	299	
2358.76	297	
2360.3	315	
2361.85	296	
2363.4	289	
2364.94	313	
2366.48	319	
2368.03	340	
2369.57	347	
2371.11	362	
2372.65	356	
2374.19	344	
2375.73	332	
2377.27	310	
2378.81	306	
2380.35	304	
2381.88	294	
2383.42	304	
2384.95	293	
2386.49	320	
2388.03	328	
2389.56	323	
2391.09	322	
2392.62	332	
2394.16	319	
2395.68	321	
2397.21	303	
2398.74	307	
2400.27	296	
2401.8	317	
2403.32	309	
2404.85	305	
2406.38	315	
2407.9	341	
2409.42	361	
2410.95	374	
2412.47	376	
2414	385	
2415.52	373	
2417.04	370	
2418.56	345	
2420.08	330	
2421.59	319	
2423.11	316	
2424.63	322	
2426.15	343	
2427.66	357	
2429.17	376	
2430.69	383	
2432.2	384	
2433.71	373	
2435.23	352	
2436.74	326	
2438.25	295	
2439.76	302	
2441.27	308	
2442.78	310	
2444.29	309	
2445.79	285	
2447.3	266	
2448.8	260	
2450.31	261	
2451.81	268	
2453.32	281	
2454.82	314	
2456.32	328	
2457.82	332	
2459.32	324	
2460.82	297	
2462.32	299	
2463.82	287	
2465.32	260	
2466.82	264	
2468.32	263	
2469.81	265	
2471.31	264	
2472.8	267	
2474.29	283	
2475.79	281	
2477.28	311	
2478.77	306	
2480.26	290	
2481.75	315	
2483.24	321	
2484.73	309	
2486.22	314	
2487.71	319	
2489.19	328	
2490.68	316	
2492.16	323	
2493.65	324	
2495.13	327	
2496.62	337	
2498.1	327	
2499.58	317	
2501.06	330	
2502.54	336	
2504.02	352	
2505.5	349	
2506.98	356	
2508.46	363	
2509.94	346	
2511.41	348	
2512.89	319	
2514.36	309	
2515.84	312	
2517.31	321	
2518.78	338	
2520.26	326	
2521.73	343	
2523.2	335	
2524.67	306	
2526.14	307	
2527.61	276	
2529.07	275	
2530.54	287	
2532.01	290	
2533.48	299	
2534.94	292	
2536.41	311	
2537.87	303	
2539.33	290	
2540.79	301	
2542.26	296	
2543.72	309	
2545.18	315	
2546.64	323	
2548.1	325	
2549.56	333	
2551.01	329	
2552.47	326	
2553.93	302	
2555.38	290	
2556.84	275	
2558.29	284	
2559.75	286	
2561.2	295	
2562.65	307	
2564.1	335	
2565.56	340	
2567	324	
2568.46	314	
2569.9	303	
2571.35	294	
2572.8	297	
2574.25	296	
2575.69	292	
2577.14	293	
2578.58	320	
2580.03	338	
2581.47	334	
2582.91	336	
2584.35	327	
2585.8	321	
2587.24	305	
2588.68	302	
2590.12	285	
2591.56	271	
2592.99	291	
2594.43	299	
2595.87	302	
2597.3	301	
2598.74	319	
2600.17	325	
2601.61	337	
2603.04	356	
2604.47	348	
2605.9	343	
2607.34	346	
2608.77	350	
2610.2	359	
2611.63	341	
2613.05	326	
2614.48	313	
2615.91	309	
2617.34	301	
2618.76	306	
2620.19	309	
2621.61	327	
2623.03	335	
2624.46	342	
2625.88	338	
2627.3	330	
2628.72	329	
2630.14	336	
2631.56	358	
2632.98	370	
2634.4	376	
2635.82	363	
2637.24	350	
2638.65	344	
2640.07	352	
2641.48	346	
2642.9	344	
2644.31	352	
2645.72	366	
2647.14	371	
2648.55	384	
2649.96	371	
2651.37	392	
2652.78	398	
2654.19	412	
2655.6	409	
2657	395	
2658.41	384	
2659.82	386	
2661.22	378	
2662.63	375	
2664.03	367	
2665.44	370	
2666.84	375	
2668.24	379	
2669.64	368	
2671.04	358	
2672.45	372	
2673.84	379	
2675.24	369	
2676.64	372	
2678.04	359	
2679.44	367	
2680.83	371	
2682.23	363	
2683.62	364	
2685.02	361	
2686.41	371	
2687.8	373	
2689.2	364	
2690.59	368	
2691.98	346	
2693.37	357	
2694.76	344	
2696.15	347	
2697.54	355	
2698.92	349	
2700.31	342	
2701.7	355	
2703.08	359	
2704.47	369	
2705.85	364	
2707.24	373	
2708.62	369	
2710	381	
2711.38	364	
2712.77	349	
2714.14	327	
2715.53	320	
2716.9	315	
2718.28	321	
2719.66	328	
2721.04	330	
2722.41	341	
2723.79	352	
2725.16	340	
2726.54	337	
2727.91	325	
2729.29	314	
2730.66	303	
2732.03	301	
2733.4	304	
2734.77	307	
2736.14	313	
2737.51	324	
2738.88	323	
2740.25	344	
2741.62	344	
2742.98	348	
2744.35	345	
2745.71	351	
2747.08	332	
2748.44	325	
2749.81	312	
2751.17	299	
2752.53	291	
2753.89	294	
2755.25	275	
2756.61	283	
2757.97	296	
2759.33	305	
2760.69	291	
2762.05	305	
2763.41	285	
2764.76	287	
2766.12	279	
2767.47	276	
2768.83	274	
2770.18	290	
2771.53	302	
2772.88	318	
2774.24	312	
2775.59	303	
2776.94	277	
2778.29	287	
2779.63	275	
2780.98	277	
2782.33	284	
2783.68	286	
2785.03	280	
2786.37	278	
2787.72	255	
2789.06	251	
2790.41	256	
2791.75	264	
2793.09	277	
2794.43	283	
2795.77	289	
2797.11	270	
2798.45	256	
2799.79	237	
2801.13	230	
2802.47	250	
2803.81	266	
2805.14	278	
2806.48	297	
2807.82	294	
2809.15	284	
2810.48	270	
2811.82	279	
2813.15	280	
2814.48	277	
2815.81	288	
2817.14	270	
2818.48	267	
2819.8	251	
2821.13	233	
2822.46	231	
2823.79	238	
2825.12	262	
2826.44	283	
2827.77	289	
2829.09	282	
2830.42	255	
2831.74	256	
2833.07	241	
2834.39	236	
2835.71	241	
2837.03	248	
2838.35	266	
2839.67	286	
2840.99	283	
2842.31	273	
2843.63	256	
2844.95	267	
2846.26	266	
2847.58	254	
2848.89	255	
2850.21	238	
2851.52	245	
2852.84	253	
2854.15	247	
2855.46	245	
2856.78	236	
2858.09	246	
2859.4	249	
2860.71	255	
2862.02	261	
2863.32	254	
2864.63	281	
2865.94	308	
2867.25	318	
2868.55	318	
2869.86	315	
2871.16	302	
2872.47	301	
2873.77	290	
2875.07	274	
2876.37	266	
2877.68	269	
2878.98	269	
2880.28	276	
2881.58	277	
2882.88	274	
2884.18	252	
2885.47	246	
2886.77	237	
