Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1776.7	48365	
1778.51	48539	
1780.32	47487	
1782.13	47105	
1783.95	47128	
1785.75	46088	
1787.56	45754	
1789.37	45337	
1791.18	44558	
1792.98	44375	
1794.79	43423	
1796.6	43284	
1798.4	42717	
1800.2	42148	
1802.01	41727	
1803.81	40878	
1805.61	40179	
1807.41	39737	
1809.21	39273	
1811	38779	
1812.8	38282	
1814.6	37200	
1816.4	36620	
1818.19	35892	
1819.99	35648	
1821.78	35462	
1823.57	35151	
1825.36	34235	
1827.15	33851	
1828.94	33269	
1830.73	32864	
1832.52	32421	
1834.31	31416	
1836.1	31568	
1837.88	31122	
1839.67	30283	
1841.45	29657	
1843.24	29215	
1845.02	29223	
1846.8	28504	
1848.58	28147	
1850.36	27634	
1852.14	27593	
1853.92	26917	
1855.7	26531	
1857.48	26016	
1859.25	25862	
1861.03	25672	
1862.8	25149	
1864.58	24839	
1866.35	24399	
1868.12	24068	
1869.9	23931	
1871.67	23760	
1873.44	22983	
1875.21	22986	
1876.98	22799	
1878.74	22649	
1880.51	22107	
1882.28	22281	
1884.04	21670	
1885.81	21319	
1887.57	21376	
1889.33	20723	
1891.09	20627	
1892.85	20352	
1894.62	20103	
1896.38	19947	
1898.13	19849	
1899.89	19839	
1901.65	19483	
1903.41	18987	
1905.16	19267	
1906.92	18911	
1908.67	18626	
1910.42	18589	
1912.18	17921	
1913.93	18145	
1915.68	17897	
1917.43	17336	
1919.18	17697	
1920.93	17890	
1922.67	17217	
1924.42	17318	
1926.17	17333	
1927.91	17031	
1929.66	16746	
1931.4	16578	
1933.14	16242	
1934.88	16582	
1936.63	16499	
1938.37	16208	
1940.11	16082	
1941.85	16002	
1943.58	15888	
1945.32	15922	
1947.06	15828	
1948.79	15734	
1950.53	15460	
1952.26	15341	
1954	15372	
1955.73	15099	
1957.46	14946	
1959.19	15311	
1960.92	14947	
1962.65	14749	
1964.38	14903	
1966.11	14524	
1967.84	14746	
1969.56	14423	
1971.29	14411	
1973.01	14298	
1974.74	14253	
1976.46	13944	
1978.18	13698	
1979.91	13777	
1981.62	13938	
1983.35	13630	
1985.06	13669	
1986.78	13368	
1988.5	13652	
1990.22	13282	
1991.94	13152	
1993.65	13197	
1995.36	13081	
1997.08	12999	
1998.79	13002	
2000.5	12929	
2002.22	12642	
2003.92	12541	
2005.64	12633	
2007.34	12694	
2009.05	12401	
2010.76	12354	
2012.47	12638	
2014.17	12395	
2015.88	12154	
2017.58	12158	
2019.29	12112	
2020.99	12070	
2022.69	12016	
2024.39	11664	
2026.09	11832	
2027.79	11787	
2029.49	11874	
2031.19	11707	
2032.89	11591	
2034.58	11477	
2036.28	11525	
2037.98	11758	
2039.67	11523	
2041.36	11313	
2043.06	11582	
2044.75	11274	
2046.44	11434	
2048.13	11153	
2049.82	11330	
2051.51	11570	
2053.2	11362	
2054.88	11366	
2056.57	11171	
2058.26	11438	
2059.94	11256	
2061.63	11070	
2063.31	10980	
2065	11267	
2066.67	10876	
2068.36	11401	
2070.04	11026	
2071.72	11029	
2073.4	10952	
2075.07	10983	
2076.75	10804	
2078.43	10866	
2080.1	10890	
2081.78	11047	
2083.45	10869	
2085.13	10869	
2086.8	10950	
2088.47	10798	
2090.14	10773	
2091.81	10930	
2093.48	10997	
2095.15	10806	
2096.82	10972	
2098.49	10993	
2100.16	10880	
2101.82	11187	
2103.49	11212	
2105.15	11095	
2106.81	11143	
2108.48	11419	
2110.14	11331	
2111.8	11211	
2113.46	11231	
2115.12	11412	
2116.78	11099	
2118.44	11537	
2120.1	11505	
2121.75	11225	
2123.41	11389	
2125.07	11663	
2126.72	11546	
2128.38	11510	
2130.03	11707	
2131.68	11681	
2133.33	11584	
2134.98	11674	
2136.63	11728	
2138.28	11849	
2139.93	11833	
2141.58	12097	
2143.22	11856	
2144.87	11923	
2146.52	11950	
2148.16	12080	
2149.8	12110	
2151.45	12221	
2153.09	12018	
2154.73	12428	
2156.37	12295	
2158.01	12210	
2159.65	12288	
2161.29	12710	
2162.93	12701	
2164.57	12603	
2166.2	12668	
2167.84	12833	
2169.47	12908	
2171.11	12931	
2172.74	12935	
2174.37	12655	
2176.01	13149	
2177.64	13255	
2179.27	12961	
2180.9	13274	
2182.53	13541	
2184.15	13282	
2185.78	13527	
2187.41	13537	
2189.04	13616	
2190.66	13832	
2192.28	13976	
2193.91	14118	
2195.53	14014	
2197.15	14097	
2198.77	14319	
2200.4	14403	
2202.02	14492	
2203.64	14446	
2205.25	14615	
2206.87	14671	
2208.49	15200	
2210.1	15151	
2211.72	15084	
2213.34	15212	
2214.95	15518	
2216.56	15791	
2218.17	15820	
2219.79	15837	
2221.4	16001	
2223.01	16062	
2224.62	16368	
2226.23	16517	
2227.84	16451	
2229.44	16432	
2231.05	16476	
2232.66	17331	
2234.26	17057	
2235.86	17245	
2237.47	17475	
2239.07	17719	
2240.67	17654	
2242.28	17961	
2243.88	18116	
2245.48	18290	
2247.07	18665	
2248.67	18562	
2250.27	19017	
2251.87	19189	
2253.47	19342	
2255.06	19395	
2256.65	19870	
2258.25	19904	
2259.84	20445	
2261.44	20208	
2263.03	20611	
2264.62	20598	
2266.21	21005	
2267.8	21032	
2269.39	21571	
2270.98	21721	
2272.56	21638	
2274.15	22330	
2275.74	22325	
2277.32	22492	
2278.9	22901	
2280.49	22974	
2282.07	22762	
2283.66	23108	
2285.24	23797	
2286.82	23714	
2288.4	24034	
2289.98	24088	
2291.56	24363	
2293.14	24580	
2294.71	24796	
2296.29	24940	
2297.86	25253	
2299.44	25611	
2301.01	25741	
2302.59	26659	
2304.16	26341	
2305.73	26748	
2307.3	27044	
2308.87	26965	
2310.45	27496	
2312.01	28264	
2313.58	28123	
2315.15	28313	
2316.72	28700	
2318.28	29769	
2319.85	29757	
2321.41	30026	
2322.98	30316	
2324.54	30587	
2326.1	30991	
2327.67	30892	
2329.23	31562	
2330.79	32193	
2332.35	32449	
2333.91	31833	
2335.47	32979	
2337.02	33438	
2338.58	33870	
2340.14	33881	
2341.69	34083	
2343.25	35126	
2344.8	35062	
2346.35	35270	
2347.91	35434	
2349.46	35437	
2351.01	35358	
2352.56	36488	
2354.11	36410	
2355.66	36896	
2357.21	37093	
2358.76	37272	
2360.3	37947	
2361.85	37862	
2363.4	37775	
2364.94	38020	
2366.48	37985	
2368.03	38637	
2369.57	39218	
2371.11	38863	
2372.65	39691	
2374.19	39814	
2375.73	39897	
2377.27	39730	
2378.81	40485	
2380.35	40533	
2381.88	41062	
2383.42	40713	
2384.95	41138	
2386.49	40956	
2388.03	41157	
2389.56	40848	
2391.09	41675	
2392.62	41620	
2394.16	42097	
2395.68	42201	
2397.21	42201	
2398.74	42217	
2400.27	41761	
2401.8	42522	
2403.32	42824	
2404.85	42888	
2406.38	42666	
2407.9	42686	
2409.42	42658	
2410.95	43281	
2412.47	42779	
2414	43282	
2415.52	43098	
2417.04	42856	
2418.56	43295	
2420.08	43328	
2421.59	42910	
2423.11	43384	
2424.63	43271	
2426.15	43047	
2427.66	43267	
2429.17	43160	
2430.69	43583	
2432.2	43046	
2433.71	43450	
2435.23	42623	
2436.74	42401	
2438.25	42215	
2439.76	42414	
2441.27	42436	
2442.78	42520	
2444.29	41739	
2445.79	41607	
2447.3	42178	
2448.8	41789	
2450.31	41659	
2451.81	41507	
2453.32	41244	
2454.82	41180	
2456.32	40583	
2457.82	40297	
2459.32	40431	
2460.82	40359	
2462.32	39885	
2463.82	39548	
2465.32	39639	
2466.82	39336	
2468.32	39244	
2469.81	39277	
2471.31	39343	
2472.8	38695	
2474.29	38321	
2475.79	38215	
2477.28	38235	
2478.77	38419	
2480.26	37492	
2481.75	37850	
2483.24	37812	
2484.73	37593	
2486.22	37331	
2487.71	37411	
2489.19	37092	
2490.68	37231	
2492.16	36687	
2493.65	36846	
2495.13	36410	
2496.62	36611	
2498.1	35876	
2499.58	36411	
2501.06	35962	
2502.54	36318	
2504.02	36365	
2505.5	35971	
2506.98	35648	
2508.46	35676	
2509.94	35544	
2511.41	35420	
2512.89	35021	
2514.36	35185	
2515.84	35063	
2517.31	34571	
2518.78	34877	
2520.26	34627	
2521.73	34453	
2523.2	34358	
2524.67	34172	
2526.14	34176	
2527.61	33923	
2529.07	33930	
2530.54	33460	
2532.01	33407	
2533.48	33295	
2534.94	33304	
2536.41	32898	
2537.87	32899	
2539.33	33196	
2540.79	32809	
2542.26	32591	
2543.72	32826	
2545.18	32657	
2546.64	32693	
2548.1	32629	
2549.56	32348	
2551.01	32208	
2552.47	32324	
2553.93	31910	
2555.38	31885	
2556.84	31651	
2558.29	31581	
2559.75	31347	
2561.2	31448	
2562.65	31674	
2564.1	31334	
2565.56	31463	
2567	31194	
2568.46	31181	
2569.9	30990	
2571.35	30754	
2572.8	30311	
2574.25	30840	
2575.69	30384	
2577.14	30336	
2578.58	30322	
2580.03	30379	
2581.47	30067	
2582.91	30173	
2584.35	29729	
2585.8	29592	
2587.24	29637	
2588.68	29611	
2590.12	29695	
2591.56	29770	
2592.99	29559	
2594.43	29249	
2595.87	29515	
2597.3	29279	
2598.74	29278	
2600.17	29149	
2601.61	29119	
2603.04	29222	
2604.47	28760	
2605.9	29072	
2607.34	29120	
2608.77	28087	
2610.2	28820	
2611.63	28859	
2613.05	28755	
2614.48	28343	
2615.91	28836	
2617.34	28931	
2618.76	28578	
2620.19	28320	
2621.61	28387	
2623.03	28395	
2624.46	28078	
2625.88	28098	
2627.3	28273	
