Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2378.39	120	
2379.93	124	
2381.47	126	
2383.01	129	
2384.54	132	
2386.08	130	
2387.61	132	
2389.14	132	
2390.68	133	
2392.21	132	
2393.74	132	
2395.27	131	
2396.8	128	
2398.33	128	
2399.86	128	
2401.39	128	
2402.91	130	
2404.44	133	
2405.96	137	
2407.49	138	
2409.01	142	
2410.54	144	
2412.06	144	
2413.58	146	
2415.1	148	
2416.62	148	
2418.14	151	
2419.66	151	
2421.18	151	
2422.7	146	
2424.21	146	
2425.73	143	
2427.25	141	
2428.76	143	
2430.27	142	
2431.79	142	
2433.3	145	
2434.81	144	
2436.32	145	
2437.84	144	
2439.34	147	
2440.86	146	
2442.36	148	
2443.87	148	
2445.38	149	
2446.88	147	
2448.39	146	
2449.9	144	
2451.4	143	
2452.9	141	
2454.41	142	
2455.91	142	
2457.41	141	
2458.91	139	
2460.41	140	
2461.91	137	
2463.41	139	
2464.91	138	
2466.4	137	
2467.9	134	
2469.4	137	
2470.89	136	
2472.39	139	
2473.88	138	
2475.37	134	
2476.86	133	
2478.36	133	
2479.85	132	
2481.34	133	
2482.83	135	
2484.31	136	
2485.81	133	
2487.29	131	
2488.78	132	
2490.27	135	
2491.75	134	
2493.24	138	
2494.72	135	
2496.2	133	
2497.68	132	
2499.17	133	
2500.65	133	
2502.13	131	
2503.61	127	
2505.09	123	
2506.57	124	
2508.04	122	
2509.52	122	
2511	123	
2512.47	120	
2513.95	119	
2515.42	116	
2516.9	117	
2518.37	121	
2519.84	124	
2521.31	124	
2522.79	128	
2524.25	128	
2525.72	132	
2527.19	133	
2528.66	135	
2530.13	136	
2531.6	137	
2533.06	137	
2534.53	139	
2535.99	140	
2537.45	140	
2538.92	141	
2540.38	142	
2541.84	140	
2543.3	139	
2544.76	137	
2546.23	136	
2547.68	137	
2549.14	137	
2550.6	137	
2552.06	137	
2553.51	137	
2554.97	139	
2556.43	138	
2557.88	139	
2559.33	139	
2560.79	141	
2562.24	140	
2563.69	142	
2565.14	145	
2566.59	151	
2568.04	154	
2569.49	155	
2570.94	151	
2572.39	150	
2573.83	153	
2575.28	152	
2576.72	154	
2578.17	154	
2579.61	155	
2581.06	153	
2582.5	154	
2583.94	154	
2585.38	152	
2586.82	153	
2588.26	152	
2589.7	155	
2591.14	156	
2592.58	160	
2594.02	164	
2595.45	166	
2596.89	167	
2598.33	168	
2599.76	169	
2601.19	173	
2602.62	176	
2604.06	177	
2605.49	181	
2606.92	184	
2608.35	186	
2609.78	189	
2611.21	194	
2612.64	197	
2614.07	200	
2615.5	207	
2616.92	210	
2618.35	218	
2619.77	222	
2621.2	225	
2622.62	231	
2624.04	237	
2625.47	243	
2626.89	245	
2628.31	249	
2629.73	253	
2631.15	256	
2632.57	262	
2633.99	268	
2635.4	272	
2636.82	277	
2638.24	281	
2639.65	287	
2641.07	294	
2642.48	301	
2643.9	307	
2645.31	312	
2646.72	320	
2648.13	324	
2649.55	332	
2650.96	341	
2652.36	347	
2653.77	353	
2655.18	357	
2656.59	362	
2658	369	
2659.4	378	
2660.81	385	
2662.21	395	
2663.62	399	
2665.02	407	
2666.43	414	
2667.83	425	
2669.23	429	
2670.63	432	
2672.03	437	
2673.43	438	
2674.83	442	
2676.23	444	
2677.62	449	
2679.02	446	
2680.42	447	
2681.81	448	
2683.21	447	
2684.6	446	
2686	443	
2687.39	441	
2688.78	438	
2690.17	437	
2691.57	431	
2692.96	429	
2694.34	424	
2695.73	419	
2697.12	411	
2698.51	405	
2699.9	400	
2701.28	391	
2702.67	385	
2704.06	377	
2705.44	367	
2706.82	356	
2708.21	349	
2709.59	339	
2710.97	329	
2712.35	317	
2713.73	308	
2715.11	298	
2716.49	291	
2717.87	282	
2719.25	275	
2720.62	268	
2722	259	
2723.38	251	
2724.75	244	
2726.13	238	
2727.5	230	
2728.87	224	
2730.25	216	
2731.62	210	
2732.99	201	
2734.36	195	
2735.73	189	
2737.1	184	
2738.47	179	
2739.83	177	
2741.2	175	
2742.57	173	
2743.94	174	
2745.3	174	
2746.66	172	
2748.03	168	
2749.39	163	
2750.76	160	
2752.12	159	
2753.48	156	
2754.84	152	
2756.2	150	
2757.56	148	
2758.92	142	
2760.28	139	
2761.63	138	
2762.99	134	
2764.35	133	
2765.7	130	
2767.06	131	
2768.41	131	
2769.76	131	
2771.12	132	
2772.47	132	
2773.82	130	
2775.17	129	
2776.52	126	
2777.87	127	
2779.22	126	
2780.57	122	
2781.92	120	
2783.26	120	
2784.61	118	
2785.96	116	
2787.3	116	
2788.65	116	
2789.99	115	
2791.33	117	
2792.68	116	
2794.02	117	
2795.36	116	
2796.7	117	
2798.04	120	
2799.38	118	
2800.72	118	
2802.06	120	
2803.39	119	
2804.73	120	
2806.07	118	
2807.4	116	
2808.74	117	
2810.07	114	
2811.4	114	
2812.74	112	
2814.07	110	
2815.4	113	
2816.73	110	
2818.06	109	
2819.39	107	
2820.72	107	
2822.05	109	
2823.38	111	
2824.7	112	
2826.03	112	
2827.36	116	
2828.68	116	
2830	115	
2831.33	117	
2832.65	116	
2833.98	115	
2835.3	115	
2836.62	112	
2837.94	113	
2839.26	111	
2840.58	110	
2841.9	108	
2843.22	104	
2844.53	105	
2845.85	103	
2847.17	105	
2848.48	111	
2849.8	111	
2851.11	109	
2852.42	107	
2853.74	106	
2855.05	103	
2856.36	102	
2857.67	102	
2858.98	99	
2860.29	98	
2861.6	98	
2862.91	100	
2864.22	101	
2865.53	102	
2866.83	101	
2868.14	103	
2869.44	106	
2870.75	107	
2872.05	107	
2873.36	110	
2874.66	111	
2875.96	108	
2877.26	108	
2878.56	106	
2879.86	107	
2881.16	106	
2882.46	104	
2883.76	104	
2885.06	103	
2886.35	103	
2887.65	102	
2888.95	103	
2890.24	103	
2891.54	104	
2892.83	104	
2894.13	106	
2895.42	105	
2896.71	103	
2898	104	
2899.29	103	
2900.58	105	
2901.87	105	
2903.16	106	
2904.45	103	
2905.74	103	
2907.02	100	
2908.31	99	
2909.6	101	
2910.88	99	
2912.17	100	
2913.45	100	
2914.73	99	
2916.01	100	
2917.3	100	
2918.58	98	
2919.86	99	
2921.14	101	
2922.42	101	
2923.7	101	
2924.98	101	
2926.25	101	
2927.53	99	
2928.81	98	
2930.08	97	
2931.36	97	
2932.63	97	
2933.91	96	
2935.18	95	
2936.45	94	
2937.72	97	
2938.99	97	
2940.27	95	
2941.54	96	
2942.81	96	
2944.08	99	
2945.34	100	
2946.61	102	
2947.88	101	
2949.14	102	
2950.41	102	
2951.67	101	
2952.94	100	
2954.2	99	
2955.47	100	
2956.73	98	
2957.99	96	
2959.25	93	
2960.51	93	
2961.77	94	
2963.03	95	
2964.29	96	
2965.55	96	
2966.81	97	
2968.06	100	
2969.32	101	
2970.58	99	
2971.83	101	
2973.09	100	
2974.34	97	
2975.59	95	
2976.85	94	
2978.1	93	
2979.35	93	
2980.6	93	
2981.85	91	
2983.1	88	
2984.35	87	
2985.6	88	
2986.85	89	
2988.09	92	
2989.34	93	
2990.58	93	
2991.83	95	
2993.07	95	
2994.32	97	
2995.56	98	
2996.81	100	
2998.05	100	
2999.29	97	
3000.53	99	
3001.77	102	
3003.01	102	
3004.25	101	
3005.49	97	
3006.73	94	
3007.96	92	
3009.2	92	
3010.44	91	
3011.67	90	
3012.91	86	
3014.14	84	
3015.38	87	
3016.61	89	
3017.84	87	
3019.07	88	
3020.3	87	
3021.53	87	
3022.76	86	
3023.99	85	
3025.22	87	
3026.45	89	
3027.68	89	
3028.91	91	
3030.13	88	
3031.36	90	
3032.58	90	
3033.81	92	
3035.03	92	
3036.25	93	
3037.47	94	
3038.7	97	
3039.92	101	
3041.14	99	
3042.36	96	
3043.58	93	
3044.8	92	
3046.02	93	
3047.23	92	
3048.45	91	
3049.67	92	
3050.88	94	
3052.1	93	
3053.31	92	
3054.53	89	
3055.74	91	
3056.95	92	
3058.16	93	
3059.38	93	
3060.59	96	
3061.8	95	
3063.01	97	
3064.22	99	
3065.43	99	
3066.63	97	
3067.84	96	
3069.05	96	
3070.25	97	
3071.46	97	
3072.67	96	
3073.87	94	
3075.07	91	
3076.28	92	
3077.48	93	
3078.68	93	
3079.88	96	
3081.08	97	
3082.28	98	
3083.48	100	
3084.68	102	
3085.88	99	
3087.08	99	
3088.28	101	
3089.47	99	
3090.67	94	
3091.86	92	
3093.06	88	
3094.25	88	
3095.45	85	
3096.64	83	
3097.83	83	
3099.02	86	
3100.21	89	
3101.41	88	
3102.6	90	
3103.78	94	
3104.97	93	
3106.16	93	
3107.35	95	
3108.53	96	
3109.72	94	
3110.91	92	
3112.09	93	
3113.28	91	
3114.46	90	
3115.65	91	
3116.83	90	
3118.01	91	
3119.19	90	
3120.37	93	
3121.55	94	
3122.73	95	
3123.91	93	
3125.09	92	
3126.27	92	
3127.45	93	
3128.62	94	
3129.8	97	
3130.98	98	
3132.15	97	
3133.32	94	
3134.5	95	
3135.67	94	
3136.84	93	
3138.01	90	
3139.19	90	
3140.36	89	
