17/8/2023
5:01 pm
Raman shift	Intensity
cm-1	Counts
1404.632473	498.909565
1406.614587	502.429517
1408.594403	494.729712
1410.573769	485.436287
1412.548995	483.998281
1414.527461	491.756351
1416.503632	491.786449
1418.479355	491.209219
1420.454628	486.054163
1422.427610	495.843421
1424.400144	506.284112
1426.372231	513.151540
1428.343869	521.303663
1430.311379	532.509219
1432.283964	542.789111
1434.248742	562.775303
1436.218592	572.785275
1438.184319	584.730916
1440.151438	595.485394
1442.116274	588.664717
1444.076990	598.648492
1446.042775	617.471199
1448.002604	615.235263
1449.963826	606.668845
1451.926441	594.655339
1453.884941	589.811449
1455.842998	575.228854
1457.800614	561.365031
1459.757788	547.300022
1461.712686	537.372395
1463.668976	514.580180
1465.622992	493.179652
1467.576568	467.887857
1469.527871	450.449482
1471.480566	427.234293
1473.430990	414.032946
1475.380974	394.534368
1477.330520	376.759174
1479.277797	363.395481
1481.222807	346.934840
1483.169208	352.891441
1485.115172	350.297005
1487.060699	369.875954
1489.003961	389.244712
1490.946786	427.004294
1492.887348	460.026869
1494.829301	477.082219
1496.768992	497.943778
1498.708249	513.192994
1500.647070	529.228926
1502.583632	533.313614
1504.521585	529.349228
1506.457279	518.645532
1508.392540	518.618191
1510.325545	511.000517
1512.258117	500.027260
1514.190257	483.226858
1516.121965	472.452294
1518.051419	462.761418
1519.982264	453.234082
1521.912677	458.504853
1523.839018	461.723116
1525.766750	493.685343
1527.692231	513.036819
1529.617283	535.504002
1531.541906	552.210968
1533.466100	577.966347
1535.388047	606.680577
1537.311383	629.193299
1539.232474	649.659827
1541.151320	672.389811
1543.071556	684.005554
1544.989548	698.361397
1546.907114	713.948991
1548.822438	712.930517
1550.739152	713.815502
1552.651811	714.213363
1554.567674	708.989734
1556.481297	686.845178
1558.392683	660.293982
1560.305457	646.380395
1562.214182	607.258389
1564.124297	596.239919
1566.033987	579.652349
1567.943255	558.736495
1569.850289	548.001997
1571.755090	536.495416
1573.661280	523.684203
1575.565238	504.722070
1577.468776	489.758454
1579.371892	485.131319
1581.272780	467.111428
1583.175055	457.669440
1585.075103	451.351665
1586.976538	441.483739
1588.873940	436.835847
1590.770923	429.094701
1592.667488	409.736046
1594.565441	391.598948
1596.457559	378.981661
1598.352870	374.241512
1600.247764	349.818891
1602.140436	359.480155
1604.032692	367.356309
1605.922727	370.720691
1607.812348	378.216146
1609.701552	379.745637
1611.590342	386.304142
1613.476914	395.401393
1615.364874	403.951853
1617.248817	407.852389
1619.134148	408.736431
1621.019064	421.523952
1622.901767	425.839416
1624.785857	421.273647
1626.665936	413.573151
1628.547401	405.872957
1630.426656	390.248882
1632.307297	380.899693
1634.182134	373.236866
